"Time","hestia/local/temperature.mean"
2023-03-28 22:10:00,74.5 °F
2023-03-29 03:00:00,73.5 °F
2023-03-29 03:05:00,73.4 °F
2023-03-29 09:35:00,72 °F
2023-03-29 10:25:00,72.5 °F
2023-03-29 10:30:00,72.5 °F
2023-03-29 12:30:00,73 °F
2023-03-29 12:35:00,72.5 °F
2023-03-29 13:20:00,72 °F
2023-03-29 13:25:00,72.7 °F
2023-03-29 13:45:00,72 °F
2023-03-29 13:50:00,73 °F
2023-03-29 13:55:00,72.5 °F
2023-03-29 14:00:00,72.5 °F
2023-03-29 14:05:00,72.5 °F
2023-03-29 14:40:00,72 °F
2023-03-29 14:45:00,73 °F
2023-03-29 16:05:00,74 °F
2023-03-29 16:10:00,73 °F
2023-03-29 19:50:00,74 °F
2023-03-29 19:55:00,73.4 °F
2023-03-29 20:00:00,73.7 °F
2023-03-29 20:50:00,73.5 °F
2023-03-29 20:55:00,73.5 °F
2023-03-29 21:40:00,73.3 °F
2023-03-29 22:05:00,73.5 °F
2023-03-29 22:30:00,73.5 °F
2023-03-29 22:35:00,73.7 °F
2023-03-29 23:15:00,73 °F
2023-03-29 23:20:00,73.5 °F
2023-03-30 05:05:00,72 °F
2023-03-30 05:10:00,72.7 °F
2023-03-30 05:15:00,72.5 °F
2023-03-30 05:20:00,72.3 °F
2023-03-30 08:00:00,73 °F
2023-03-30 08:05:00,72 °F
2023-03-30 08:50:00,73 °F
2023-03-30 08:55:00,72.5 °F
2023-03-30 09:00:00,72.3 °F
2023-03-30 09:25:00,73 °F
2023-03-30 09:30:00,72 °F
2023-03-30 10:05:00,72.7 °F
2023-03-30 17:35:00,73.5 °F
2023-03-30 17:40:00,73.7 °F
2023-03-31 04:05:00,74.5 °F
2023-03-31 04:10:00,74.7 °F
2023-03-31 04:15:00,74 °F
2023-03-31 04:20:00,74.5 °F
2023-03-31 04:45:00,74.7 °F
2023-03-31 05:55:00,74.5 °F
2023-03-31 08:55:00,74 °F
2023-03-31 09:00:00,74.7 °F
2023-03-31 12:40:00,76 °F
2023-03-31 15:20:00,77 °F
2023-03-31 15:25:00,76.5 °F
2023-03-31 16:15:00,76 °F
2023-03-31 16:25:00,75 °F
2023-03-31 16:30:00,76 °F
2023-03-31 16:50:00,76.5 °F
2023-03-31 17:00:00,75 °F
2023-03-31 17:05:00,76 °F
